id,title,artist,genre,mood,energy,tempo_bpm,valence,danceability,acousticness,instrumentalness,speechiness,popularity
1,Sunrise City,Neon Echo,pop,happy,0.82,118,0.84,0.79,0.18,0.01,0.05,0.88
2,Midnight Coding,LoRoom,lofi,chill,0.42,78,0.56,0.62,0.71,0.82,0.04,0.61
3,Storm Runner,Voltline,rock,intense,0.91,152,0.48,0.66,0.10,0.03,0.06,0.74
4,Library Rain,Paper Lanterns,lofi,chill,0.35,72,0.60,0.58,0.86,0.91,0.03,0.45
5,Gym Hero,Max Pulse,pop,intense,0.93,132,0.77,0.88,0.05,0.00,0.07,0.82
6,Spacewalk Thoughts,Orbit Bloom,ambient,chill,0.28,60,0.65,0.41,0.92,0.95,0.02,0.38
7,Coffee Shop Stories,Slow Stereo,jazz,relaxed,0.37,90,0.71,0.54,0.89,0.44,0.08,0.52
8,Night Drive Loop,Neon Echo,synthwave,moody,0.75,110,0.49,0.73,0.22,0.67,0.04,0.69
9,Focus Flow,LoRoom,lofi,focused,0.40,80,0.59,0.60,0.78,0.88,0.03,0.57
10,Rooftop Lights,Indigo Parade,indie pop,happy,0.76,124,0.81,0.82,0.35,0.02,0.06,0.71
11,Broken Clocks,Vera Hale,soul,sad,0.44,85,0.22,0.48,0.63,0.05,0.09,0.59
12,Concrete Jungle,The Rawkus,hip-hop,confident,0.85,96,0.61,0.83,0.07,0.00,0.31,0.78
13,Glass Piano,Elara Voss,classical,melancholic,0.21,58,0.31,0.24,0.97,0.98,0.02,0.33
14,Desert Highway,Colt Reeves,country,nostalgic,0.55,104,0.74,0.67,0.81,0.12,0.07,0.64
15,Neon Pulse,Circuit Breaker,edm,euphoric,0.96,138,0.89,0.95,0.03,0.74,0.05,0.91
16,Candlelight Letters,June Hollow,folk,romantic,0.32,76,0.78,0.43,0.93,0.21,0.06,0.42
17,Iron Throne,Shadowfall,metal,angry,0.97,168,0.19,0.58,0.06,0.08,0.05,0.66
18,Sunday Mornings,Peach Theory,r&b,dreamy,0.51,88,0.83,0.71,0.54,0.03,0.12,0.73
